NUTS,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
SE2,28100,26600,27800,29100,30000,30200,32400,34300,33200,28300,33700,36700
SE21,27200,25600,27000,28000,29100,28400,31000,33200,32800,26900,32500,35900
SE22,27600,25700,27100,28000,28900,29400,31000,33600,31600,27300,32300,34800
SE23,28900,27800,28600,30500,31200,31700,34000,35400,34600,29700,35300,38400
SE3,26300,25200,26300,27400,28800,29600,31500,32400,32700,27600,34700,37100
SE31,26000,24300,25600,26800,28000,28600,30200,31500,31000,26300,32000,34400
SE32,27400,27200,27600,28200,29500,30300,31400,32100,33100,29400,36300,37700
SE33,26100,25200,26500,27800,29600,30700,33600,34000,35100,28300,38000,40900
UK,27500,28100,29000,27900,29900,31000,32700,34200,29900,25700,27800,28200
UKC,19300,19900,21100,20200,22700,23600,25000,25200,22100,18900,20500,20800
UKC1,19000,18300,19100,18900,21200,21100,22800,23300,20500,17800,19300,19100
UKC2,19600,21200,22700,21300,23900,25600,26800,26800,23400,19800,21400,22200
UKD,22800,23700,24600,23500,25600,26200,27800,29100,25100,22300,23900,23800
UKD1,20800,20900,21500,21900,23800,22800,26000,27000,23400,20600,22900,22300
UKD3,23800,24900,25500,24400,27000,27600,29200,30400,25800,23100,24600,24200
UKD4,21300,21600,22400,21600,23700,23900,24600,26000,22100,19500,20900,21000
UKD6,28000,30200,31500,29800,31700,33300,35400,37700,34300,29300,31800,31700
UKD7,20000,20700,22000,20700,22400,22800,24700,25300,22100,20100,21400,21600
UKE,22100,22500,24000,23300,25200,25700,27100,29000,24600,21400,22800,23000
UKE1,20500,20900,22500,21900,23700,24100,25400,27700,23400,20700,21900,21500
UKE2,23500,23900,26100,25100,27000,27000,28200,29900,25300,21700,23700,24000
UKE3,18500,19200,20800,20100,22100,22600,23900,25900,21000,18700,20300,20000
UKE4,24500,24700,25800,25100,27100,27900,29400,31100,27100,23300,24300,25000
UKF,22500,23000,23700,23000,24200,25500,26700,27900,23900,20600,22500,23100
UKF1,21700,22400,23300,22100,23400,25300,26300,27000,23100,19800,21900,22700
UKF2,25100,25000,25400,25000,26900,27700,29100,30900,26400,22800,24800,24800
UKF3,18500,20000,20700,20700,20300,20600,22300,23200,20000,17500,18800,19800
UKG,24100,24400,25100,23700,25800,26200,27500,28200,24000,20500,22500,22700
UKG1,24300,24100,24200,23400,26200,26500,29100,28800,24600,21300,23200,24000
UKG2,21000,21000,22200,21200,23200,23400,24800,25600,22000,18700,20200,20700
UKG3,25700,26400,27100,25400,27100,27700,28400,29400,24800,21200,23400,23300
UKH,25800,26600,27400,26800,28100,28900,30700,31600,27400,23600,25400,25600
UKH1,24300,25400,26000,25000,26500,27100,30000,30500,26300,22900,24900,25200
UKH2,31100,31800,33000,31300,32800,34700,35100,36100,32100,27300,28700,28700
UKH3,22500,23100,23800,24800,25600,25700,27200,28500,24000,20800,22800,23000
UKI,45900,46100,46800,45100,48300,51100,53100,57300,51500,43900,47200,48500
UKI1,75400,76600,77400,75000,80800,86800,90600,98400,90000,77600,83300,86000
UKI2,27300,26600,27100,25800,27400,28000,28800,30600,26500,21900,23700,24100
UKJ,30200,30800,32300,30600,32000,32900,34500,35900,31200,27000,29500,29800
UKJ1,38800,38800,41400,40100,41700,43000,43900,45500,39100,34000,36900,38400
UKJ2,30400,31000,31900,30300,31200,31600,34100,35100,30500,26500,29000,28700
UKJ3,26600,27900,29000,26400,28400,29100,31200,33200,29100,25400,27800,27400
UKJ4,22500,23100,24500,23200,24500,26200,26500,27400,24200,20500,22500,22700
UKK,24000,24900,25600,24900,26800,27500,28500,30300,26100,23100,25100,24900
UKK1,28500,29800,30800,30100,31800,32400,32900,35700,30700,27100,29800,29400
UKK2,22300,22200,22000,21400,23300,24600,26000,27100,23600,21200,22100,22500
UKK3,15500,16400,18500,18100,18900,19100,21000,21700,19100,16800,18000,17300
UKK4,20500,22000,22600,21600,24200,24500,26100,26800,22800,20000,21900,21600
UKL,19400,19500,20400,19700,21400,22200,23500,24400,20600,18000,19200,19900
UKL1,16400,16400,17400,16500,18000,19000,20000,20700,17800,15600,16800,17200
UKL2,24700,25000,25600,25300,27400,27700,29600,30900,25500,22100,23200,24500
UKM,24700,25900,26700,25700,27900,29100,31100,31700,28100,24600,25500,26200
UKM2,25400,26600,28100,26900,29100,29400,32100,33200,28700,25200,25800,26200
UKM3,22900,24300,24700,23800,25700,27500,28900,29100,25900,22600,23500,23800
UKM5,35600,36700,38100,35600,39100,41600,45500,46700,44100,38000,41200,42700
UKM6,19700,20200,20900,20500,23300,24300,24600,25300,22900,19800,21100,21500
UKN,21800,21800,22100,22300,23600,24200,25800,27700,23300,19900,21100,21000
UKN0,21800,21800,22100,22300,23600,24200,25800,27700,23300,19900,21100,21000
IS,33500,31000,32900,33600,36500,44300,43800,48000,32200,27200,29800,31600
NO,40700,42300,45000,43600,45600,52900,58100,61100,65300,56500,65000,71300
NO0,:,:,:,:,:,:,:,:,47400,45000,51200,53900
NO01,:,:,:,:,:,:,:,:,64400,60700,69100,72600
NO02,:,:,:,:,:,:,:,:,34800,32800,36800,39600
NO03,:,:,:,:,:,:,:,:,38600,36000,39900,42100
NO04,:,:,:,:,:,:,:,:,50100,47400,54800,55900
NO05,:,:,:,:,:,:,:,:,47400,45300,51100,54300
NO06,:,:,:,:,:,:,:,:,40000,38200,44400,47100
NO07,:,:,:,:,:,:,:,:,37500,36800,43000,45400
CH,38500,40300,41500,40000,40400,41300,42700,43200,46400,47100,53300,60300
MK,1900,1900,2000,2100,2200,2400,2600,2900,3300,3300,3400,3600
MK0,1900,1900,2000,2100,2200,2400,2600,2900,3300,3300,3400,3600
MK00,1900,1900,2000,2100,2200,2400,2600,2900,3300,3300,3400,3600
TR,4500,3300,3700,4000,4600,5600,6000,6700,7000,6100,7500,7500
TR1,:,:,:,:,:,:,:,:,:,9300,11300,11300
TR10,:,:,:,:,:,:,:,:,:,9300,11300,11300
TR2,:,:,:,:,:,:,:,:,:,6800,8500,8500
TR21,:,:,:,:,:,:,:,:,:,7600,9700,9800
TR22,:,:,:,:,:,:,:,:,:,6000,7300,7300
TR3,:,:,:,:,:,:,:,:,:,6400,7800,7900
TR31,:,:,:,:,:,:,:,:,:,7400,9100,9300
TR32,:,:,:,:,:,:,:,:,:,5900,7200,7000
TR33,:,:,:,:,:,:,:,:,:,5500,6800,6700
TR4,:,:,:,:,:,:,:,:,:,8200,10000,10200
TR41,:,:,:,:,:,:,:,:,:,8100,9700,9800
TR42,:,:,:,:,:,:,:,:,:,8400,10200,10700
TR5,:,:,:,:,:,:,:,:,:,7200,8700,8600
TR51,:,:,:,:,:,:,:,:,:,8400,10100,10000
TR52,:,:,:,:,:,:,:,:,:,4800,5700,5800
TR6,:,:,:,:,:,:,:,:,:,5100,6400,6200
TR61,:,:,:,:,:,:,:,:,:,6800,8500,8200
TR62,:,:,:,:,:,:,:,:,:,4800,6000,5900
TR63,:,:,:,:,:,:,:,:,:,3900,4800,4800
TR7,:,:,:,:,:,:,:,:,:,4500,5600,5600
TR71,:,:,:,:,:,:,:,:,:,4500,5600,5800
TR72,:,:,:,:,:,:,:,:,:,4500,5600,5400
TR8,:,:,:,:,:,:,:,:,:,4700,5800,5800
TR81,:,:,:,:,:,:,:,:,:,5600,6700,6900
TR82,:,:,:,:,:,:,:,:,:,4500,5600,5400
TR83,:,:,:,:,:,:,:,:,:,4400,5400,5500
TR9,:,:,:,:,:,:,:,:,:,4600,5700,5400
TR90,:,:,:,:,:,:,:,:,:,4600,5700,5400
TRA,:,:,:,:,:,:,:,:,:,3200,4100,4000
TRA1,:,:,:,:,:,:,:,:,:,3900,4900,4800
TRA2,:,:,:,:,:,:,:,:,:,2600,3400,3200
TRB,:,:,:,:,:,:,:,:,:,3100,3900,3700
TRB1,:,:,:,:,:,:,:,:,:,3900,4800,4700
TRB2,:,:,:,:,:,:,:,:,:,2500,3100,2900
TRC,:,:,:,:,:,:,:,:,:,2800,3800,3700
TRC1,:,:,:,:,:,:,:,:,:,3100,4100,4000
TRC2,:,:,:,:,:,:,:,:,:,2700,3500,3500
TRC3,:,:,:,:,:,:,:,:,:,2800,3800,3800
